Latest Year,UNICEF Reporting Region,Countries and areas, % of Countries Above 70 Access,Value
2007,East Asia and Pacific,Nauru,0,34.3
2017,East Asia and Pacific,Democratic People's Republic of Korea,1,76.9
2017,East Asia and Pacific,Democratic People's Republic of Korea,1,81.9
2017,East Asia and Pacific,Democratic People's Republic of Korea,1,79.6
2017,East Asia and Pacific,Democratic People's Republic of Korea,1,81.2
2017,East Asia and Pacific,Democratic People's Republic of Korea,1,78.2
2017,East Asia and Pacific,Democratic People's Republic of Korea,1,79.6
2000,East Asia and Pacific,Cambodia,0,20.3
2000,East Asia and Pacific,Lao People's Democratic Republic,0,1.2
2000,East Asia and Pacific,Viet Nam,0,9.9
2002,East Asia and Pacific,Viet Nam,0,60.5
2003,East Asia and Pacific,Philippines,0,28.6
2006,East Asia and Pacific,Cambodia,0,41.4
2006,East Asia and Pacific,Lao People's Democratic Republic,0,4.7
2006,East Asia and Pacific,Viet Nam,0,15.4
2007,East Asia and Pacific,Solomon Islands,0,57.7
2007,East Asia and Pacific,Vanuatu,0,2.3
2008,East Asia and Pacific,Philippines,0,31.3
2009,East Asia and Pacific,Kiribati,0,59.9
2010,East Asia and Pacific,Timor-Leste,1,73.5
2011,East Asia and Pacific,Cambodia,0,59
2011,East Asia and Pacific,Viet Nam,0,4.2
2012,East Asia and Pacific,Lao People's Democratic Republic,0,3.6
2013,East Asia and Pacific,Philippines,0,40.9
2013,East Asia and Pacific,Vanuatu,0,45.9
2014,East Asia and Pacific,Viet Nam,0,56.2
2014,East Asia and Pacific,Cambodia,0,56.9
2015,East Asia and Pacific,Solomon Islands,0,53.3
2016,East Asia and Pacific,Myanmar,0,54.8
2016,East Asia and Pacific,Timor-Leste,0,60.7
2017,East Asia and Pacific,Lao People's Democratic Republic,0,46.9
2017,East Asia and Pacific,Philippines,0,41.9
2018,East Asia and Pacific,Papua New Guinea,0,35.8
2019,East Asia and Pacific,Kiribati,0,64.4
2020,East Asia and Pacific,Samoa,0,51.9
2000,East Asia and Pacific,Cambodia,0,31.8
2000,East Asia and Pacific,Lao People's Democratic Republic,0,2.6
2000,East Asia and Pacific,Viet Nam,0,8.2
2002,East Asia and Pacific,Viet Nam,0,44.8
2003,East Asia and Pacific,Philippines,0,36.2
2006,East Asia and Pacific,Cambodia,0,39.1
2006,East Asia and Pacific,Lao People's Democratic Republic,0,11.5
2006,East Asia and Pacific,Viet Nam,0,4
2007,East Asia and Pacific,Solomon Islands,0,49
2007,East Asia and Pacific,Vanuatu,0,0.8
2008,East Asia and Pacific,Philippines,0,37.4
2010,East Asia and Pacific,Timor-Leste,0,69.3
2011,East Asia and Pacific,Cambodia,0,58.1
2011,East Asia and Pacific,Viet Nam,0,5.8
2012,East Asia and Pacific,Lao People's Democratic Republic,0,2.2
2013,East Asia and Pacific,Philippines,0,43.6
2013,East Asia and Pacific,Vanuatu,0,39.5
2014,East Asia and Pacific,Viet Nam,0,50.8
2014,East Asia and Pacific,Cambodia,0,47
2015,East Asia and Pacific,Solomon Islands,0,62.3
2016,East Asia and Pacific,Myanmar,0,48.7
2016,East Asia and Pacific,Timor-Leste,1,71.5
2017,East Asia and Pacific,Lao People's Democratic Republic,0,55.9
2017,East Asia and Pacific,Philippines,0,42.2
2018,East Asia and Pacific,Papua New Guinea,0,51.5
2019,East Asia and Pacific,Kiribati,1,75.5
2020,East Asia and Pacific,Samoa,1,82.7
2000,East Asia and Pacific,Cambodia,0,20.1
2000,East Asia and Pacific,Lao People's Democratic Republic,0,1.5
2000,East Asia and Pacific,Viet Nam,0,4.8
2002,East Asia and Pacific,Viet Nam,0,43.5
2003,East Asia and Pacific,Philippines,0,16.6
2006,East Asia and Pacific,Cambodia,0,37.3
2006,East Asia and Pacific,Lao People's Democratic Republic,0,3.3
2006,East Asia and Pacific,Viet Nam,0,16.7
2010,East Asia and Pacific,Timor-Leste,0,68.3
2011,East Asia and Pacific,Cambodia,0,55.5
2011,East Asia and Pacific,Viet Nam,0,3.4
2012,East Asia and Pacific,Lao People's Democratic Republic,0,2.6
2013,East Asia and Pacific,Philippines,0,54.6
2014,East Asia and Pacific,Viet Nam,0,48.6
2014,East Asia and Pacific,Cambodia,0,58.8
2016,East Asia and Pacific,Myanmar,0,36.1
2016,East Asia and Pacific,Timor-Leste,0,58.3
2000,East Asia and Pacific,Cambodia,0,20.4
2000,East Asia and Pacific,Lao People's Democratic Republic,0,2.3
2000,East Asia and Pacific,Viet Nam,0,12.2
2002,East Asia and Pacific,Viet Nam,0,60.4
2003,East Asia and Pacific,Philippines,0,30
2006,East Asia and Pacific,Cambodia,0,40.3
2006,East Asia and Pacific,Lao People's Democratic Republic,0,6.1
2006,East Asia and Pacific,Viet Nam,0,9.2
2007,East Asia and Pacific,Vanuatu,0,1.8
2008,East Asia and Pacific,Philippines,0,31.6
2010,East Asia and Pacific,Timor-Leste,1,71.9
2011,East Asia and Pacific,Cambodia,0,58.8
2011,East Asia and Pacific,Viet Nam,0,2
2012,East Asia and Pacific,Lao People's Democratic Republic,0,4.1
2013,East Asia and Pacific,Philippines,0,46.6
2013,East Asia and Pacific,Vanuatu,0,46.8
2014,East Asia and Pacific,Viet Nam,0,56.7
2014,East Asia and Pacific,Cambodia,0,55.2
2015,East Asia and Pacific,Solomon Islands,0,55.8
2016,East Asia and Pacific,Myanmar,0,53
2016,East Asia and Pacific,Timor-Leste,1,72.6
2017,East Asia and Pacific,Philippines,0,40.6
2000,East Asia and Pacific,Cambodia,0,31.1
2000,East Asia and Pacific,Viet Nam,0,2.9
2002,East Asia and Pacific,Viet Nam,0,63.2
2003,East Asia and Pacific,Philippines,0,34
2006,East Asia and Pacific,Cambodia,0,52
2006,East Asia and Pacific,Lao People's Democratic Republic,0,10.7
2006,East Asia and Pacific,Viet Nam,0,16.2
2007,East Asia and Pacific,Vanuatu,0,2.9
2008,East Asia and Pacific,Philippines,0,35.7
2010,East Asia and Pacific,Timor-Leste,1,75.3
2011,East Asia and Pacific,Cambodia,0,63
2011,East Asia and Pacific,Viet Nam,0,5.2
2012,East Asia and Pacific,Lao People's Democratic Republic,0,4.1
2013,East Asia and Pacific,Philippines,0,40.2
2013,East Asia and Pacific,Vanuatu,0,42.5
2014,East Asia and Pacific,Viet Nam,0,59.3
2014,East Asia and Pacific,Cambodia,0,54.3
2015,East Asia and Pacific,Solomon Islands,0,58.8
2016,East Asia and Pacific,Myanmar,0,62.3
2016,East Asia and Pacific,Timor-Leste,0,64.7
2017,East Asia and Pacific,Philippines,0,42.5
2000,East Asia and Pacific,Cambodia,0,21.6
2000,East Asia and Pacific,Lao People's Democratic Republic,0,1.5
2000,East Asia and Pacific,Viet Nam,0,9.7
2002,East Asia and Pacific,Viet Nam,0,59.6
2003,East Asia and Pacific,Philippines,0,32.4
2006,East Asia and Pacific,Cambodia,0,41.1
2006,East Asia and Pacific,Lao People's Democratic Republic,0,5.3
2006,East Asia and Pacific,Viet Nam,0,13.7
2007,East Asia and Pacific,Solomon Islands,0,56.7
2007,East Asia and Pacific,Vanuatu,0,2
2008,East Asia and Pacific,Philippines,0,34.2
2009,East Asia and Pacific,Kiribati,0,65.9
2009,East Asia and Pacific,Samoa,0,68
2010,East Asia and Pacific,Timor-Leste,1,72.2
2011,East Asia and Pacific,Cambodia,0,58.9
2011,East Asia and Pacific,Viet Nam,0,4.5
2012,East Asia and Pacific,Lao People's Democratic Republic,0,3.5
2013,East Asia and Pacific,Philippines,0,42.1
2013,East Asia and Pacific,Vanuatu,0,44
2014,East Asia and Pacific,Viet Nam,0,55.1
2014,East Asia and Pacific,Cambodia,0,55.5
2014,East Asia and Pacific,Samoa,0,62
2015,East Asia and Pacific,Solomon Islands,0,54.8
2016,East Asia and Pacific,Myanmar,0,53.7
2016,East Asia and Pacific,Timor-Leste,0,65
2017,East Asia and Pacific,Lao People's Democratic Republic,0,49.1
2017,East Asia and Pacific,Philippines,0,42
2018,East Asia and Pacific,Papua New Guinea,0,38.4
2019,East Asia and Pacific,Kiribati,1,70.1
2020,East Asia and Pacific,Samoa,0,57.4
2021,East Asia and Pacific,Viet Nam,0,5
2000,East Asia and Pacific,Cambodia,0,21.9
2000,East Asia and Pacific,Lao People's Democratic Republic,0,0.6
2000,East Asia and Pacific,Viet Nam,0,6.5
2002,East Asia and Pacific,Viet Nam,0,64.5
2003,East Asia and Pacific,Philippines,0,31.6
2006,East Asia and Pacific,Cambodia,0,39.3
2006,East Asia and Pacific,Lao People's Democratic Republic,0,6.1
2006,East Asia and Pacific,Viet Nam,0,10.7
2007,East Asia and Pacific,Solomon Islands,0,56.4
2007,East Asia and Pacific,Vanuatu,0,0.3
2008,East Asia and Pacific,Philippines,0,37.2
2010,East Asia and Pacific,Timor-Leste,1,71.8
2011,East Asia and Pacific,Cambodia,0,61.2
2011,East Asia and Pacific,Viet Nam,0,6.3
2012,East Asia and Pacific,Lao People's Democratic Republic,0,3.2
2013,East Asia and Pacific,Philippines,0,45.4
2013,East Asia and Pacific,Vanuatu,0,51
2014,East Asia and Pacific,Viet Nam,0,48.8
2014,East Asia and Pacific,Cambodia,0,58.1
2015,East Asia and Pacific,Solomon Islands,0,53.1
2016,East Asia and Pacific,Myanmar,0,51.1
2016,East Asia and Pacific,Timor-Leste,0,60.9
2017,East Asia and Pacific,Lao People's Democratic Republic,0,49
2017,East Asia and Pacific,Philippines,0,33
2018,East Asia and Pacific,Papua New Guinea,0,38.2
2019,East Asia and Pacific,Kiribati,0,67.5
2020,East Asia and Pacific,Samoa,0,52.4
2000,East Asia and Pacific,Cambodia,0,21.4
2000,East Asia and Pacific,Lao People's Democratic Republic,0,2.4
2000,East Asia and Pacific,Viet Nam,0,12.2
2002,East Asia and Pacific,Viet Nam,0,56.1
2003,East Asia and Pacific,Philippines,0,33.1
2006,East Asia and Pacific,Cambodia,0,42.6
2006,East Asia and Pacific,Lao People's Democratic Republic,0,4.7
2006,East Asia and Pacific,Viet Nam,0,16
2007,East Asia and Pacific,Solomon Islands,0,56.9
2007,East Asia and Pacific,Vanuatu,0,3.5
2008,East Asia and Pacific,Philippines,0,31.8
2009,East Asia and Pacific,Kiribati,0,60.2
2010,East Asia and Pacific,Timor-Leste,1,72.7
2011,East Asia and Pacific,Cambodia,0,57.1
2011,East Asia and Pacific,Viet Nam,0,2.8
2012,East Asia and Pacific,Lao People's Democratic Republic,0,3.7
2013,East Asia and Pacific,Philippines,0,39.6
2013,East Asia and Pacific,Vanuatu,0,38.3
2014,East Asia and Pacific,Viet Nam,0,59.4
2014,East Asia and Pacific,Cambodia,0,53.1
2015,East Asia and Pacific,Solomon Islands,0,56.1
2016,East Asia and Pacific,Myanmar,0,56.1
2016,East Asia and Pacific,Timor-Leste,0,68.3
2017,East Asia and Pacific,Lao People's Democratic Republic,0,49.2
2017,East Asia and Pacific,Philippines,0,50.2
2018,East Asia and Pacific,Papua New Guinea,0,38.6
2019,East Asia and Pacific,Kiribati,1,72.5
2020,East Asia and Pacific,Samoa,0,62.3
2000,East Asia and Pacific,Viet Nam,0,8.6
2003,East Asia and Pacific,Philippines,0,35.9
2006,East Asia and Pacific,Cambodia,0,40.1
2006,East Asia and Pacific,Lao People's Democratic Republic,0,13.1
2006,East Asia and Pacific,Viet Nam,0,13.5
2007,East Asia and Pacific,Vanuatu,0,3.9
2008,East Asia and Pacific,Philippines,0,37.3
2010,East Asia and Pacific,Timor-Leste,0,68.2
2011,East Asia and Pacific,Cambodia,0,59.3
2011,East Asia and Pacific,Viet Nam,0,7.5
2012,East Asia and Pacific,Lao People's Democratic Republic,0,3.7
2013,East Asia and Pacific,Philippines,0,43.4
2014,East Asia and Pacific,Cambodia,0,55.7
2015,East Asia and Pacific,Solomon Islands,0,63.7
2016,East Asia and Pacific,Myanmar,0,64.5
2016,East Asia and Pacific,Timor-Leste,0,64.3
2017,East Asia and Pacific,Lao People's Democratic Republic,0,62.1
2017,East Asia and Pacific,Philippines,0,41
2018,East Asia and Pacific,Papua New Guinea,0,41.3
2019,East Asia and Pacific,Kiribati,0,64.3
